שם הרחוב,רובע
א ת עד הלום,אזור תעשייה עד הלום
אב,רובע ט"ז
אבא אחימאיר,הקריה (הסיטי)
אבא הלל סילבר,רובע ג'
אבות ישורון,רובע ה'
אבטליון,רובע ג'
אביב,רובע ט"ז
אביי,הקריה (הסיטי)
אבן גבירול,רובע ב'
אבן עזרא,רובע ה'
אבני חושן,רובע י"ב
אגדיר,רובע א'
אדר,רובע ה'
אהוד מנור,רובע י"ב
אודם,רובע י"ב
אוסישקין מנחם,רובע ט"ו
אזור המרינה,המרינה
אח"י אילת,רובע ד'
אחד העם,רובע ב'
אחלמה,רובע י"ב
אייר,רובע ט"ז
אל הים,רובע א'
אלבז נתן,רובע ה'
אלול,רובע ט"ז
אלכסנדר פן,רובע י"ב
אלעזר בן הורקנוס,רובע ג'
אננס,רובע י"ז
אפרים קישון,רובע י"ב
אפרסק,רובע י"ז
אקסודוס,רובע ד'
ארבע האמהות,רובע ט"ו
אריק איינשטיין,מע"ר דרום
ארלוזורוב,רובע ה'
ארתור רופין,רובע ט"ו
אשכולית,רובע י"ז
אתרוג,רובע י"ז
באר טוביה,רובע ט'
באר שבע,רובע ט'
בארי,הקריה (הסיטי)
בובר מרטין,רובע ו'
בורוכוב,רובע ב'
ביאליק,רובע ב'
ביל"ו,הקריה (הסיטי)
בית קנדה,רובע א'
בית רוגוזין,רובע א'
בלפור,רובע ב'
בן איש חי,רובע ג'
בן עזאי,רובע ז'
בני ברק,רובע ז'
בננה,רובע י"ז
ברקת,רובע י"ב
גדרה,רובע ט'
גויאבה,רובע י"ז
גור מרדכי,רובע ט"ו
גיא אוני,רובע ט'
דב גור,רובע ה'
דב הוז,רובע ו'
דגניה,רובע ט'
דוד ילין,רובע ב'
ה' באייר,הקריה (הסיטי)
האדמו"ר מבלזא,רובע ג'
האדמו"ר מבעלז,רובע ג'
האדמו"ר מגור,רובע ג'
האדמו"ר מויז'ניץ,רובע ג'
האומן,אזור תעשייה קריית חלוצים
האופרה,מע"ר דרום
האורגים,אזור תעשייה קריית חלוצים
האורן,רובע א'
האילנות,רובע ב'
האיריס,רובע ח'
האקדמיה,מע"ר דרום
הארז,רובע א'
האשכול,רובע א'
האשל,רובע א'
הבושם,אזור תעשייה קלה
הבנאי,אזור תעשייה קריית חלוצים
הבנאים,אזור תעשייה קלה
הבשור,רובע י"א
הגולן,רובע י"א
הגלבוע,רובע י"א
הגליל,רובע י"א
הגפן,רובע א'
הגרניט,רובע י"א
הדוכיפת,רובע א'
הדלק,אזור תעשייה צפוני
הדקל,רובע א'
הדרור,רובע א'
ההגנה,רובע א'
ההגשמה,הקריה (הסיטי)
ההדס,רובע א'
הורד,רובע ח'
הזית,רובע א'
הזמיר,רובע א'
החבצלת,רובע ח'
החובלים,רובע ד'
החוחית,רובע א'
החלוצים,אזור תעשייה קריית חלוצים
החרמון,רובע י"א
החרצית,רובע ח'
החרש,אזור תעשייה קריית חלוצים
הטוחן,אזור תעשייה קריית חלוצים
הטיילת,המרינה
היוצר,אזור תעשייה קריית חלוצים
הימאים,אזור תעשייה קלה
היסמין,רובע ח'
היצירה,אזור תעשייה קריית חלוצים
היקינטון,רובע ח'
הירדן,רובע י"א
הירמוך,רובע י"א
הכלנית,רובע ח'
הכרמל,רובע י"א
הלביאה,רובע ב'
הלילך,רובע ח'
הלל,רובע ז'
המדע,אזור תעשייה קלה
המכונאי,אזור תעשייה קריית חלוצים
המלך אחז,רובע י'
המלך אחזיהו,רובע י'
המלך אליקים,רובע י'
המלך אמציה,רובע י'
המלך אסא,רובע י'
המלך דוד,רובע י'
המלך חזקיה,רובע י'
המלך יאשיהו,רובע י'
