שם הרחוב ברשימת העירייה,רובע ברשימה,הסיבה
"א ת עד הלום","אזור תעשייה עד הלום","לא נמצא במרשם הרחובות הארצי"
"אביב","רובע ט""ז","לא נמצא במרשם הרחובות הארצי"
"אבני חושן","רובע י""ב","לא נמצא במרשם הרחובות הארצי"
"אלעזר בן הורקנוס","רובע ג'","לא נמצא במרשם הרחובות הארצי"
"אננס","רובע י""ז","לא נמצא במרשם הרחובות הארצי"
"אפרים קישון","רובע י""ב","לא נמצא במרשם הרחובות הארצי"
"באר טוביה","רובע ט'","לא נמצא במרשם הרחובות הארצי"
"באר שבע","רובע ט'","לא נמצא במרשם הרחובות הארצי"
"בית רוגוזין","רובע א'","לא נמצא במרשם הרחובות הארצי"
"בן איש חי","רובע ג'","לא נמצא במרשם הרחובות הארצי"
"בן עזאי","רובע ז'","לא נמצא במרשם הרחובות הארצי"
"בני ברק","רובע ז'","לא נמצא במרשם הרחובות הארצי"
"בננה","רובע י""ז","לא נמצא במרשם הרחובות הארצי"
"גויאבה","רובע י""ז","לא נמצא במרשם הרחובות הארצי"
"האדמו""ר מבלזא","רובע ג'","לא נמצא במרשם הרחובות הארצי"
"האופרה","מע""ר דרום","לא נמצא במרשם הרחובות הארצי"
"האילנות","רובע ב'","לא נמצא במרשם הרחובות הארצי"
"האקדמיה","מע""ר דרום","לא נמצא במרשם הרחובות הארצי"
"הבנאי","אזור תעשייה קריית חלוצים","לא נמצא במרשם הרחובות הארצי"
"הגלבוע","רובע י""א","לא נמצא במרשם הרחובות הארצי"
"הגליל","רובע י""א","לא נמצא במרשם הרחובות הארצי"
"הגרניט","רובע י""א","לא נמצא במרשם הרחובות הארצי"
"הדוכיפת","רובע א'","לא נמצא במרשם הרחובות הארצי"
"הדלק","אזור תעשייה צפוני","לא נמצא במרשם הרחובות הארצי"
"החרש","אזור תעשייה קריית חלוצים","לא נמצא במרשם הרחובות הארצי"
"הטוחן","אזור תעשייה קריית חלוצים","לא נמצא במרשם הרחובות הארצי"
"היצירה","אזור תעשייה קריית חלוצים","לא נמצא במרשם הרחובות הארצי"
"הלילך","רובע ח'","לא נמצא במרשם הרחובות הארצי"
"המכונאי","אזור תעשייה קריית חלוצים","לא נמצא במרשם הרחובות הארצי"
"המלך אחז","רובע י'","לא נמצא במרשם הרחובות הארצי"
"המלך אחזיהו","רובע י'","לא נמצא במרשם הרחובות הארצי"
"המלך יאשיהו","רובע י'","לא נמצא במרשם הרחובות הארצי"
"המלך יורם","רובע י'","לא נמצא במרשם הרחובות הארצי"
"המלך מנשה","רובע י'","לא נמצא במרשם הרחובות הארצי"
"המלך עוזיהו","רובע י'","לא נמצא במרשם הרחובות הארצי"
"המלך צדקיהו","רובע י'","לא נמצא במרשם הרחובות הארצי"
"המשוטטים","רובע ד'","לא נמצא במרשם הרחובות הארצי"
"המשוררים","מע""ר דרום","לא נמצא במרשם הרחובות הארצי"
"הנחליאלי","רובע א'","לא נמצא במרשם הרחובות הארצי"
"הנפח","אזור תעשייה קריית חלוצים","לא נמצא במרשם הרחובות הארצי"
"הנרייטה סולד","רובע ב'","לא נמצא במרשם הרחובות הארצי"
"הסדנא","אזור תעשייה קלה","לא נמצא במרשם הרחובות הארצי"
"הקברניט","רובע ד'","לא נמצא במרשם הרחובות הארצי"
"הר ארבל","רובע ד'","לא נמצא במרשם הרחובות הארצי"
"הר הכרמל","רובע ד'","לא נמצא במרשם הרחובות הארצי"
"הר סיני","רובע י""א","לא נמצא במרשם הרחובות הארצי"
"הרב מיימון","רובע ב'","לא נמצא במרשם הרחובות הארצי"
"הרב פנחס אבוחצירא","רובע ז'","לא נמצא במרשם הרחובות הארצי"
"הרי חברון","רובע ד'","לא נמצא במרשם הרחובות הארצי"
"הרי יהודה","רובע ד'","לא נמצא במרשם הרחובות הארצי"
"השיקמה","רובע א'","לא נמצא במרשם הרחובות הארצי"
"התבור","רובע י""א","לא נמצא במרשם הרחובות הארצי"
"התעשייה","אזור תעשייה קלה","לא נמצא במרשם הרחובות הארצי"
"התרבות","מע""ר דרום","לא נמצא במרשם הרחובות הארצי"
"חורף","רובע ט""ז","לא נמצא במרשם הרחובות הארצי"
"חזון איש","רובע ז'","לא נמצא במרשם הרחובות הארצי"
"חיד""א","רובע ג'","לא נמצא במרשם הרחובות הארצי"
"חיים בר לב","רובע ט""ו","לא נמצא במרשם הרחובות הארצי"
"יהלום","רובע י""ב","לא נמצא במרשם הרחובות הארצי"
"יונתן בן עוזיאל","רובע ג'","לא נמצא במרשם הרחובות הארצי"
"ים המלח","רובע י""א","לא נמצא במרשם הרחובות הארצי"
"ים כנרת","רובע י""א","לא נמצא במרשם הרחובות הארצי"
"ים סוף","רובע י""א","לא נמצא במרשם הרחובות הארצי"
"כפר תבור","רובע ט'","לא נמצא במרשם הרחובות הארצי"
"לוטוס","רובע ח'","לא נמצא במרשם הרחובות הארצי"
"לימון","רובע י""ז","לא נמצא במרשם הרחובות הארצי"
"מבצע יואב","רובע ח'","לא נמצא במרשם הרחובות הארצי"
"מבצע תש""ח","רובע ב'","לא נמצא במרשם הרחובות הארצי"
"מגדל","רובע ט'","לא נמצא במרשם הרחובות הארצי"
"מגדלור המרינה","המרינה","לא נמצא במרשם הרחובות הארצי"
"מיכקשוילי","רובע ה'","לא נמצא במרשם הרחובות הארצי"
"מלכי ישראל","רובע י'","לא נמצא במרשם הרחובות הארצי"
"מרגנית","רובע ח'","לא נמצא במרשם הרחובות הארצי"
"מרזוק ועזר","רובע א'","לא נמצא במרשם הרחובות הארצי"
"מרחביה","רובע ט'","לא נמצא במרשם הרחובות הארצי"
"מרחשוון","רובע ט""ז","לא נמצא במרשם הרחובות הארצי"
"משה אבן עזרא","רובע ג'","לא נמצא במרשם הרחובות הארצי"
"נחל אלכסנדר","רובע י""ג","לא נמצא במרשם הרחובות הארצי"
"נחל ארנון","רובע י""ג","לא נמצא במרשם הרחובות הארצי"
"נחל הירמוך","רובע י""ג","לא נמצא במרשם הרחובות הארצי"
"נחל חברון","רובע י""ג","לא נמצא במרשם הרחובות הארצי"
"נחל כרוב","רובע י""ג","לא נמצא במרשם הרחובות הארצי"
"נחל צין","רובע י""ג","לא נמצא במרשם הרחובות הארצי"
"נחל צלמון","רובע י""ג","לא נמצא במרשם הרחובות הארצי"
"נחל קלת","רובע י""ג","לא נמצא במרשם הרחובות הארצי"
"נחל תנינים","רובע י""ג","לא נמצא במרשם הרחובות הארצי"
"נחל תקוע","רובע י""ג","לא נמצא במרשם הרחובות הארצי"
"סברס","רובע י""ז","לא נמצא במרשם הרחובות הארצי"
"סתיו","רובע ט""ז","לא נמצא במרשם הרחובות הארצי"
"עורף נמל אשדוד","עורף הנמל","לא נמצא במרשם הרחובות הארצי"
"עין חרוד","רובע ט'","לא נמצא במרשם הרחובות הארצי"
"עתלית","רובע ט'","לא נמצא במרשם הרחובות הארצי"
"פאטריה","רובע ד'","לא נמצא במרשם הרחובות הארצי"
"פפאיה","רובע י""ז","לא נמצא במרשם הרחובות הארצי"
"קבוצת יבנה","רובע ט'","לא נמצא במרשם הרחובות הארצי"
"קהילת בודפשט","רובע ה'","לא נמצא במרשם הרחובות הארצי"
"קהילת ורשה","רובע ה'","לא נמצא במרשם הרחובות הארצי"
"קהילת מילאנו","רובע ה'","לא נמצא במרשם הרחובות הארצי"
"קהילת פריז","רובע ה'","לא נמצא במרשם הרחובות הארצי"
"קהילת רומא","רובע ה'","לא נמצא במרשם הרחובות הארצי"
"קיץ","רובע ט""ז","לא נמצא במרשם הרחובות הארצי"
"קלמנטינה","רובע י""ז","לא נמצא במרשם הרחובות הארצי"
"רבי אלעזר בן ערך","רובע ז'","לא נמצא במרשם הרחובות הארצי"
"רבי חנינא בן דוסא","רובע ז'","לא נמצא במרשם הרחובות הארצי"
"רבי מאיר","רובע ז'","לא נמצא במרשם הרחובות הארצי"
"רוחמה","רובע ט'","לא נמצא במרשם הרחובות הארצי"
"רחבעם זאבי","רובע ה'","לא נמצא במרשם הרחובות הארצי"
"שבט אפרים","רובע ו'","לא נמצא במרשם הרחובות הארצי"
"שבט מנשה","רובע ו'","לא נמצא במרשם הרחובות הארצי"
"שדרות דרום","מע""ר דרום","לא נמצא במרשם הרחובות הארצי"
"שמיר","רובע ב'","לא נמצא במרשם הרחובות הארצי"
"שסק","רובע י""ז","לא נמצא במרשם הרחובות הארצי"
"שפירית","רובע ד'","לא נמצא במרשם הרחובות הארצי"
"שקד","רובע י""ז","לא נמצא במרשם הרחובות הארצי"
"תל יוסף","רובע ט'","לא נמצא במרשם הרחובות הארצי"
